StatsCode,Geoname,Quality,Altitude,rate,year_range,gender,age_range,condition
10050,Albury (C),Good,329.0,28.35483708708059,2017-18,males , 2-17,overweight or obese
10250,Ballina (A),Good,3.0,26.014971362539722,2017-18,males , 2-17,overweight or obese
10300,Balranald (A),Poor,66.0,29.893224981424265,2017-18,males , 2-17,overweight or obese
10470,Bathurst Regional (A),Good,735.0,29.364806054802834,2017-18,males , 2-17,overweight or obese
10550,Bega Valley (A),Good,143.0,29.096447895359777,2017-18,males , 2-17,overweight or obese
10600,Bellingen (A),Good,774.0,28.425320390999648,2017-18,males , 2-17,overweight or obese
10650,Berrigan (A),Acceptable,111.0,27.205421371366743,2017-18,males , 2-17,overweight or obese
10750,Blacktown (C),Good,29.0,24.617644000044717,2017-18,males , 2-17,overweight or obese
10800,Bland (A),Good,317.0,26.281329127260786,2017-18,males , 2-17,overweight or obese
10850,Blayney (A),Good,731.0,28.309325144800187,2017-18,males , 2-17,overweight or obese
10900,Blue Mountains (C),Good,780.0,26.870094221626132,2017-18,males , 2-17,overweight or obese
10950,Bogan (A),Poor,192.0,28.394372011814113,2017-18,males , 2-17,overweight or obese
11100,Botany Bay (C),Good,8.0,24.026909142177793,2017-18,males , 2-17,overweight or obese
11250,Broken Hill (C),Good,312.0,28.80406519248038,2017-18,males , 2-17,overweight or obese
11300,Burwood (A),Poor,35.0,22.738976970718387,2017-18,males , 2-17,overweight or obese
11350,Byron (A),Good,7.0,24.748613165720844,2017-18,males , 2-17,overweight or obese
11400,Cabonne (A),Poor,595.0,29.644581841767533,2017-18,males , 2-17,overweight or obese
11450,Camden (A),Good,104.0,24.01110318443151,2017-18,males , 2-17,overweight or obese
11500,Campbelltown (C),Good,142.0,26.46932256076742,2017-18,males , 2-17,overweight or obese
11520,Canada Bay (A),Good,12.0,22.396065904142905,2017-18,males , 2-17,overweight or obese
11600,Carrathool (A),Poor,110.0,32.93886224913484,2017-18,males , 2-17,overweight or obese
11700,Central Darling (A),Poor,94.0,25.358367445911348,2017-18,males , 2-17,overweight or obese
11720,Cessnock (C),Good,350.0,27.304440441796334,2017-18,males , 2-17,overweight or obese
11730,Clarence Valley (A),Good,53.0,28.74535935925593,2017-18,males , 2-17,overweight or obese
11750,Cobar (A),Good,187.0,25.756452869202374,2017-18,males , 2-17,overweight or obese
11800,Coffs Harbour (C),Good,160.0,28.323159589741792,2017-18,males , 2-17,overweight or obese
12000,Coolamon (A),Poor,226.0,30.120257072774393,2017-18,males , 2-17,overweight or obese
12150,Coonamble (A),Good,165.0,27.73972730231184,2017-18,males , 2-17,overweight or obese
13510,Cootamundra-Gundagai Regional(A),Good,222.0,30.54917743347161,2017-18,males , 2-17,overweight or obese
12350,Cowra (A),Acceptable,347.0,29.5894661757239,2017-18,males , 2-17,overweight or obese
12700,Dungog (A),Good,128.0,27.88520052468988,2017-18,males , 2-17,overweight or obese
12750,Eurobodalla (A),Good,305.0,28.682479256735952,2017-18,males , 2-17,overweight or obese
12850,Fairfield (C),Good,33.0,23.08747811192591,2017-18,males , 2-17,overweight or obese
12900,Forbes (A),Good,228.0,28.291916652794278,2017-18,males , 2-17,overweight or obese
12950,Gilgandra (A),Good,292.0,31.316684320087464,2017-18,males , 2-17,overweight or obese
13010,Glen Innes Severn (A),Good,1120.0,26.88202887757972,2017-18,males , 2-17,overweight or obese
13310,Goulburn Mulwaree (A),Acceptable,638.0,28.84543715417842,2017-18,males , 2-17,overweight or obese
13340,Greater Hume Shire (A),Acceptable,269.0,24.732313559461943,2017-18,males , 2-17,overweight or obese
13450,Griffith (C),Acceptable,122.0,28.453929204144952,2017-18,males , 2-17,overweight or obese
13550,Gunnedah (A),Good,404.0,27.986575376757308,2017-18,males , 2-17,overweight or obese
13660,Gwydir (A),Poor,370.0,29.302068414332645,2017-18,males , 2-17,overweight or obese
13800,Hawkesbury (C),Good,250.0,24.503840522934805,2017-18,males , 2-17,overweight or obese
13850,Hay (A),Good,91.0,33.3453221517576,2017-18,males , 2-17,overweight or obese
14000,Hornsby (A),Good,13.0,23.09508309116128,2017-18,males , 2-17,overweight or obese
14100,Hunters Hill (A),Acceptable,40.0,21.34536734184052,2017-18,males , 2-17,overweight or obese
14200,Inverell (A),Acceptable,494.0,26.863773456779885,2017-18,males , 2-17,overweight or obese
14300,Junee (A),Good,319.0,36.00388990403591,2017-18,males , 2-17,overweight or obese
14350,Kempsey (A),Good,71.0,28.80027896350896,2017-18,males , 2-17,overweight or obese
14400,Kiama (A),Good,60.0,22.53610417853249,2017-18,males , 2-17,overweight or obese
14500,Ku-ring-gai (A),Good,135.0,21.48748747089898,2017-18,males , 2-17,overweight or obese
14550,Kyogle (A),Acceptable,222.0,31.147573355197945,2017-18,males , 2-17,overweight or obese
14600,Lachlan (A),Good,204.0,28.124462012890845,2017-18,males , 2-17,overweight or obese
14650,Lake Macquarie (C),Good,54.0,25.762424078518613,2017-18,males , 2-17,overweight or obese
14700,Lane Cove (A),Acceptable,51.0,20.11460685675918,2017-18,males , 2-17,overweight or obese
14750,Leeton (A),Good,132.0,28.81458888541759,2017-18,males , 2-17,overweight or obese
14850,Lismore (C),Good,11.0,29.41776327175671,2017-18,males , 2-17,overweight or obese
